97 ==> 86 102 #SUP: 129207 #CONF: 0.722860627489594
86 ==> 97 102 #SUP: 129207 #CONF: 0.6425459753538287
98 100 ==> 86 #SUP: 67401 #CONF: 0.5781820989242884
86 98 ==> 100 #SUP: 67401 #CONF: 0.9377139041153065
98 ==> 86 100 #SUP: 67401 #CONF: 0.535868467709236
98 102 ==> 86 #SUP: 71875 #CONF: 0.571466053922543
86 98 ==> 102 #SUP: 71875 #CONF: 0.9999582626116476
98 ==> 86 102 #SUP: 71875 #CONF: 0.5714387934392864
100 102 ==> 86 #SUP: 176625 #CONF: 0.6667358725604923
86 102 ==> 100 #SUP: 176625 #CONF: 0.8783730020588616
86 100 ==> 102 #SUP: 176625 #CONF: 0.9999886767028824
102 ==> 86 100 #SUP: 176625 #CONF: 0.5800206886360277
100 ==> 86 102 #SUP: 176625 #CONF: 0.6667258053557004
86 ==> 100 102 #SUP: 176625 #CONF: 0.878355529474951
100 92020 ==> 86 #SUP: 65235 #CONF: 0.7383366910383231
86 92020 ==> 100 #SUP: 65235 #CONF: 0.8919439962810031
92020 ==> 86 100 #SUP: 65235 #CONF: 0.6541226724423187
102 92020 ==> 86 #SUP: 73134 #CONF: 0.7333567310102783
86 92020 ==> 102 #SUP: 73134 #CONF: 0.999945308868167
92020 ==> 86 102 #SUP: 73134 #CONF: 0.733327317029149
97 100 ==> 92 #SUP: 124582 #CONF: 0.8398409060266955
92 100 ==> 97 #SUP: 124582 #CONF: 0.5415502049581172
92 97 ==> 100 #SUP: 124582 #CONF: 0.8347538259494519
97 ==> 92 100 #SUP: 124582 #CONF: 0.6969856330841875
97 102 ==> 92 #SUP: 149244 #CONF: 0.8349688377661657
92 102 ==> 97 #SUP: 149244 #CONF: 0.5686785550983082
92 97 ==> 102 #SUP: 149244 #CONF: 1.0
97 ==> 92 102 #SUP: 149244 #CONF: 0.8349594951438929
92 ==> 97 102 #SUP: 149244 #CONF: 0.5686677208557983
98 100 ==> 92 #SUP: 105465 #CONF: 0.904704307993206
92 98 ==> 100 #SUP: 105465 #CONF: 0.931661381083206
98 ==> 92 100 #SUP: 105465 #CONF: 0.8384945022619038
98 102 ==> 92 #SUP: 113196 #CONF: 0.9000023852496164
92 98 ==> 102 #SUP: 113196 #CONF: 0.9999558307788801
98 ==> 92 102 #SUP: 113196 #CONF: 0.8999594526908308
100 102 ==> 92 #SUP: 230044 #CONF: 0.8683854894114983
92 102 ==> 100 #SUP: 230044 #CONF: 0.8765584514555708
92 100 ==> 102 #SUP: 230044 #CONF: 0.999986959186601
102 ==> 92 100 #SUP: 230044 #CONF: 0.7554439025992151
100 ==> 92 102 #SUP: 230044 #CONF: 0.8683723774507953
